StationID,Longitude,Latitude,Height,Remark,Distance_from_Zurich
8573166,8.564894,47.291269,435,"Thalwil, Mühlebachplatz",9841.384103550236
8573167,8.564468,47.294917,435,"Thalwil, Zentrum",9437.091353072841
8573168,8.565124,47.295909,435,"Thalwil, Bahnhof",9338.718564499204
8573169,8.525694,47.243916,617,"Hausen am Albis, Grindlen",14969.101722618723
8573171,8.494499000000001,47.248236,590,"Rifferswil, Unterrifferswil",14853.738347346905
8573176,8.510527,47.25962,617,"Hausen am Albis, Vollenweid",13371.249047058383
8573178,8.446603999999999,47.275813,494,"Affoltern a. A., Bahnhof",13390.75359550877
8573193,8.440764999999999,47.286568,473,"Zwillikon, Fehrenbach",12645.502614380892
8573195,8.432818,47.268691,476,"Obfelden, Hirschen",14618.961615079974
8573205,8.563727,47.450441,447,"Zürich Flughafen, Bahnhof",8228.215245505415
8573206,8.544989999999999,47.500859000000005,428,"Bachenbülach, Schmiede",13646.387811706465
8573207,8.545134,47.496944,450,"Winkel, Scheidweg",13211.517549955533
8573208,8.548776,47.491495,436,"Winkel, Schwärzen",12616.917486899849
8573209,8.555632000000001,47.491222,450,"Winkel, Oberdorf",12623.563233033692
8573210,8.555076,47.478688,437,"Winkel, Hagenbuechen",11232.256026694417
8573211,8.580197,47.453545,447,"Kloten, Zum Wilden Mann",8904.717485455521
8573213,8.570688,47.444779,447,"Zürich Flughafen, Werft",7753.191818169448
8573214,8.571692,47.440244,447,"Kloten, Balsberg Hardacher",7297.271299225228
8573225,8.598953999999999,47.500015000000005,430,"Embrach, Oberdorf",14250.385970171628
8573226,8.594958,47.499381,430,"Embrach, Zürcherstrasse",14092.637133960863
8573228,8.596763000000001,47.490818,464,"Lufingen, Unterdorf",13228.13819685452
8573229,8.589929,47.481666,464,"Lufingen, Hintermarchlen",12100.373308833736
8573230,8.592144000000001,47.476696999999994,464,"Lufingen, Augwil",11631.160774155916
8573232,8.583267,47.463122,447,"Kloten, Freienberg",9985.950449696653
8573233,8.580392,47.457671999999995,447,"Kloten, Kaserne Ost",9342.595698021296
8573234,8.581667,47.45962,447,"Kloten, Hohrainli",9578.598293827717
8573236,8.504499000000001,47.479290999999996,430,"Oberglatt ZH, Mösli Hofstetten",11559.511607035156
8573237,8.510715,47.470446,430,"Oberglatt ZH, Bahnhof",10496.76207567044
8573238,8.516424,47.474575,430,"Oberglatt ZH, Rietli",10867.071901888465
8573239,8.520798,47.476341999999995,430,"Oberglatt ZH, Zentrum",11012.517606374488
8573240,8.527583,47.462355,430,"Rümlang, Riedmatt",9408.116721002152
8573241,8.532636,47.453951,430,"Rümlang, Bahnhof",8444.84360664244
8573242,8.540269,47.449849,430,"Rümlang, Rümelbach",7969.564888542919
8573244,8.562735,47.438038,432,"Glattbrugg, Unterriet",6869.020131811393
8573260,8.5153,47.509539000000004,420,"Höri, Fuhrstrasse",14726.248974162358
8573261,8.495,47.495389,424,"Niederglatt ZH, Nöschikon",13469.306832822625
8573262,8.498314,47.493182,424,"Niederglatt ZH,altes Schulhaus",13170.178095064462
8573263,8.503203,47.490815999999995,424,"Niederglatt ZH, Zentrum",12830.1658843896
8573264,8.485088000000001,47.480638,424,"Niederhasli, Dorf",12123.758524790306
8573265,8.471211,47.483461,429,"Dielsdorf, Erlen",12805.422819829648
8573273,8.454746,47.498825,465,"Steinmaur, Obersteinmaur",14875.241553338703
8573274,8.448514,47.493555,451,"Steinmaur, Gemeindehaus",14565.097305877409
8573275,8.448105,47.489511,451,"Steinmaur, Bahnhof",14185.734060933626
8573276,8.453292,47.483169000000004,429,"Dielsdorf, Wehntalerstrasse",13380.007819026521
8573277,8.458927000000001,47.482931,429,"Dielsdorf, Bahnhof",13154.685544016913
8573503,8.736782,47.363397,560,"Wermatswil, Ledi",14895.51990319477
8573504,8.716841,47.351188,464,"Uster, Bahnhof",13638.692914247767
8573552,8.596036999999999,47.260511,409,"Horgen, Altes Gemeindehaus",13744.390575578742
8573553,8.589041,47.261463,409,"Horgen, Stocker",13490.267918079973
8573554,8.590198,47.258726,484,"Horgen Oberdorf, Bahnhof",13806.883835372953
8573555,8.593161,47.257670000000005,409,"Horgen, Bergli",13982.031312450965
8573556,8.596728,47.25275,409,"Horgen, Sunnehügeli",14583.526725614347
8573710,8.524189,47.371429,405,"Zürich Wiedikon, Bahnhof",1419.558869239335
8573711,8.485158,47.368227000000005,408,"Zürich, Sädlenweg",4289.394430108769
8573712,8.470105,47.342240999999994,562,"Wettswil a.A., Bäumlisächer",6620.879126375869
8573713,8.474231,47.331869,562,"Wettswil a.A., Grund",7155.655435800849
8573714,8.465119,47.359619,555,"Ringlikon, Langwis",6018.535925183202
8573715,8.485911,47.302088,550,"Stallikon, Aumüli",9397.478737324456
8573716,8.48742,47.298773,550,"Stallikon, Tägerst",9683.475746026457
8573717,8.500651,47.279906,672,"Aeugstertal, Landhus",11326.309405090602
8573718,8.438805,47.356945,488,"Birmensdorf ZH, Bahnhof",7992.264555549866
8573719,8.438321,47.350895,470,"Birmensdorf ZH, Aescherstrasse",8250.458379594236
8573720,8.423893,47.320031,572,"Arni AG, Stockacker",10889.024197005383
8573721,8.398813,47.313424,499,"Oberlunkhofen, Waldegg",12857.096122763412
8573722,8.392763,47.312386,465,"Oberlunkhofen, Oberdorf",13300.422675359214
8573723,8.390722,47.311395000000005,439,"Oberlunkhofen, Dorfplatz",13489.547900533376
8573724,8.490606,47.320198,550,"Stallikon, Aegerten",7451.097597361244
8573725,8.439345,47.323631,675,"Islisberg, Dorf",9721.45169227051
8573726,8.4685,47.326298,528,"Bonstetten-Wettswil, Bahnhof",7902.298624459278
8573728,8.463061999999999,47.316632,538,"Bonstetten, Chrüzacher",8977.807755470236
8573729,8.472567999999999,47.314343,550,"Bonstetten, Isenbach",8737.27960852159
8573730,8.472429,47.324239,550,"Bonstetten, Lärchenhof",7876.023068872551
8573731,8.475895,47.349394000000004,550,"Stallikon, Diebis",5804.705792870027
8573732,8.478536,47.281232,700,"Aeugst am Albis, Müliberg",11738.656872786152
8573733,8.480647,47.270868,700,"Aeugst am Albis, Höchweg",12748.358071939823
8573734,8.465954,47.278574,494,"Affoltern a. A., Lilienberg",12408.41466053808
8574610,8.447610000000001,47.375972999999995,248,"Uitikon, Wängi",6975.537829914614
8574615,8.448622,47.373473,555,"Uitikon, Gläseren",6915.004268840088
8574658,8.451404,47.372116999999996,555,"Uitikon, Roracher",6719.666986506801
8574684,8.458724,47.369256,555,"Uitikon, Halde",6214.442745743532
8574739,8.462348,47.364933,555,"Waldegg, Katholische Kirche",6044.254438942567
8574780,8.469503,47.358366,682,"Ringlikon, Dorf",5761.393221130608
8574898,8.465323,47.361974,620,"Ringlikon, Gättern",5919.096593735283
8575014,8.465034,47.366222,620,"Uitikon Waldegg, Bahnhof",5813.781860199142
8575909,8.683328999999999,47.434635,511,"Effretikon, Vogelbuckstrasse",12467.779521511366
8575918,8.686156,47.425142,511,"Effretikon, Bahnhof",12163.747613623422
8575919,8.686383,47.428063,512,"Effretikon, Zentrum",12321.671542519136
8575920,8.6966,47.429049,511,"Effretikon, Müselacher",13059.900886390531
8575921,8.699484,47.426023,511,"Effretikon, Lindenwiese",13116.127716240875
8575922,8.719218,47.414858,517,"Illnau, Gemeindehaus",14079.065950084452
